MSZoning,Street,Alley,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,Foundation,BsmtQual,CentralAir,Electrical,GarageType,PavedDrive,Fence,SaleCondition
A,Grvl,Grvl,Blmngtn,Artery,Artery,1Fam,1Story,10,Flat,BrkTil,Ex,N,SBrkr,2Types,Y,GdPrv,Normal
C,Pave,Pave,Blueste,Feedr,Feedr,2FmCon,1.5Fin,9,Gable,CBlock,Gd,Y,FuseA,Attchd,P,MnPrv,Abnorml
FV,Pave,NA,BrDale,Norm,Norm,Duplx,1.5Unf,8,Gambrel,PConc,TA,Y,FuseF,Basment,N,GdWo,AdjLand
I,Pave,NA,BrkSide,RRNn,RRNn,TwnhsE,2Story,7,Hip,Slab,Fa,Y,FuseP,BuiltIn,N,MnWw,Alloca
RH,Pave,NA,ClearCr,RRAn,RRAn,TwnhsI,2.5Fin,6,Mansard,Stone,Po,Y,Mix,CarPort,N,NA,Family
RL,Pave,NA,CollgCr,PosN,PosN,TwnhsI,2.5Unf,5,Shed,Wood,NA,Y,Mix,Detchd,N,NA,Partial
RP,Pave,NA,Crawfor,PosA,PosA,TwnhsI,SFoyer,4,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,Edwards,RRNe,RRNe,TwnhsI,SLvl,3,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,Gilbert,RRAe,RRAe,TwnhsI,SLvl,2,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,IDOTRR,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,MeadowV,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,Mitchel,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,Names,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,NoRidge,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,NPkVill,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,NridgHt,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,NWAmes,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,OldTown,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,SWISU,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,Sawyer,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,SawyerW,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,Somerst,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,StoneBr,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,Timber,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
RM,Pave,NA,Veenker,RRAe,RRAe,TwnhsI,SLvl,1,Shed,Wood,NA,Y,Mix,NA,N,NA,Partial
